B,H
0.02,20.0
0.04,26.0
0.06,34.0
0.08,38.0
0.1,42.0
0.12,44.0
0.14,48.0
0.16,50.0
0.18,54.0
0.2,56.0
0.22,58.0
0.24,60.0
0.26,62.0
0.28,64.0
0.3,66.0
0.32,68.0
0.34,70.0
0.36,72.31
0.38,74.62
0.4,76.92
0.42,79.23
0.44,81.54
0.46,83.85
0.48,86.15
0.5,88.46
0.54,90.77
0.56,93.08
0.58,95.38
0.62,97.69
0.66,100.0
0.76,110.0
0.86,120.0
0.92,130.0
0.99,140.0
1.04,150.0
1.08,160.0
1.12,170.0
1.15,180.0
1.19,190.0
1.21,200.0
1.24,210.0
1.26,220.0
1.27,230.0
1.29,240.0
1.3,250.0
1.31,260.0
1.32,270.0
1.33,280.0
1.34,290.0
1.35,300.0
1.41,400.0
1.48,600.0
1.54,850.0
1.58,1100.0
1.62,2500.0
1.7,4000.0
1.8,8500.0
1.9,15000.0
2.05,35000.0
2.1,75000.0
2.11,100000.0
